"State","Contract ID","Agency ID","Slug Name","Agency/Facility Name","Contract Holder (if different than Facility Name)","Integration Type","Aliases","Agency Classification","Product(s) Purchased","NTDID","Name on NTD"
"FL","1023","A","ufl","Regional Transit System","City of Gainesville - also in University of Florida contract","TransLoc","RTS","Municipal","RealTime",40030,"Gainseville Regional Transit System"
"TX","1024","A","ccrta","Corpus Christi Regional Transportation Authority",NA,"Clever","Corpus Christi","Municipal","RealTime",60051,"Corpus Christi Regional Transportation Authority"
"NC","1025","A","duke","Duke University",NA,"TransLoc",NA,"University","RealTime, Traveler, OnDemand",NA,NA
"CT","1026","A","easternct","Eastern Connecticut State University",NA,"TransLoc","ECSU","University","RealTime",NA,NA
"GA","1027","A","emory","Emory University",NA,"TransLoc",NA,"University","RealTime, OnDemand, Traveler",NA,NA
"CT","1028","A","fairfield","Fairfield University",NA,"Zonar",NA,"University","RealTime",NA,NA
"CA","1029","A","cerritos","Cerritos on Wheels","First Transit, Inc.","TransLoc",NA,"Municipal","RealTime",90036,"Orange County Transportation Authority"
"MO","1030","A","indebus","Independence Transit","First Transit, Inc.","TransLoc","IndeBus Transit System","Municipal","RealTime",70005,"Kansas City Area Transportation Authority"
"GA","1031","A","kennesaw","Kennesaw State University","First Transit, Inc.","TransLoc",NA,"University","RealTime",NA,NA
"LA","1032","A","lsu","Louisiana State University","First Transit, Inc.","TransLoc","LSU","University","RealTime, Traveler, OnDemand",NA,NA
"WI","1033","A","monona","Monona Express","First Transit, Inc.","Zonar",NA,"Municipal","RealTime",NA,NA
"NJ","1034","A","princeton","Princeton University","First Transit, Inc.","TransLoc",NA,"University","RealTime, OnDemand",NA,NA
"RI","1035","A","risd","Rhode Island School of Design","First Transit, Inc.","TransLoc","RISD","University","RealTime",NA,NA
"NY","1036","A","rit","Rochester Institute of Technology","First Transit, Inc.","TransLoc","RIT","University","RealTime",NA,NA
"GA","1037","A","scad","Savannah College of Art & Design","First Transit, Inc.","TransLoc","SCAD - Atlanta, SCAD - Savannah","University","RealTime",NA,NA
"GA","1037","B","scadatl","Savannah College of Art & Design-Atlanta","First Transit, Inc.","TransLoc",NA,"University","RealTime",NA,NA
"IL","1038","A","uchicago","The University of Chicago","First Transit, Inc.","TransLoc","UChicago","University","RealTime",NA,NA
"AL","1039","A","uab","The University of Alabama at Birmingham","First Transit, Inc.","TransLoc","UAB","University","RealTime, OnDemand",NA,NA
NA,"1127","A",NA,NA,NA,"TransLoc",NA,NA,NA,NA,NA
"NY","1040","A","rochester","University of Rochester","First Transit, Inc.","TransLoc","U of R","University","RealTime",NA,NA
"TN","1041","A","utk","University of Tennessee","First Transit, Inc.","TransLoc","UTK","University","RealTime, OnDemand",NA,NA
NA,"1133","A",NA,NA,NA,"TransLoc",NA,NA,NA,NA,NA
"FL","1042","A","fiu","Florida International University","The Florida International Board of Trustees","TransLoc",NA,"University","RealTime, Traveler",NA,NA
"FL","1043","A","fsu","Florida State University",NA,"Trapeze","FSU, StarMetro-City of Tallahassee","University","RealTime, Traveler",NA,NA
"FL","1043","B","starmetro","StarMetro","Florida State University","Trapeze",NA,"Municipal","Traveler",40036,"City of Tallahassee"
"NY","1044","A","fordham","Fordham University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"NC","1045","A","hpu","High Point University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"NC","1046","A","jacksonvilletransit","Jacksonville Transit","City of Jacksonville","TransLoc",NA,"Municipal","RealTime",40040,"Jacksonville Transportation Authority"
"CA","1047","A","cgtsnet","Netflix Corporate Campus","Corinthian International Parking Services, Inc.","TransLoc","CGTSNET","Commercial","RealTime",NA,NA
"CA","1048","A","cgtstmi","Tesla, Inc. Employee Shuttle","Corinthian International Parking Services, Inc.","TransLoc","CGTSTMI","Commercial","RealTime",NA,NA
"FL","1049","A","ju","Jacksonville University",NA,"ISR",NA,"University","RealTime",NA,NA
"VA","1050","A","jrtco","Capital One Corporate Campus, VA","James River Transportation/ James River Bus Lines","TransLoc",NA,"Commercial","RealTime",NA,NA
"RI","1051","A","jwu","Johnson & Wales University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"RI","1051","B","jwunmi","Johnson & Wales University: North Miami Campus",NA,"TransLoc",NA,"University","RealTime",NA,NA
"DE","1052","A","krapfco","Capital One - Wilmington, DE","Krapf's Coaches","TransLoc","KrapfCO","Commercial","RealTime",NA,NA
"TX","1053","A","lamar","Lamar University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"GA","1054","A","redbus","Coca-Cola Corporate Campus","Lanier Shuttle and Valet, Inc.","TransLoc","Red Bus","Commercial","RealTime",NA,NA
"GA","1055","A","lsvsfatl","State Farm Corporate Campus","Lanier Shuttle and Valet, Inc.","TransLoc","SF Perimeter","Commercial","RealTime",NA,NA
"LA","1056","A","lsu","Louisiana State University (expires 07/16)",NA,"TransLoc",NA,"University","RealTime",NA,NA
"MI","1057","A","ltu","Lawrence Technological University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"GA","1058","A","life","Life University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"MA","1059","A","vtamv","Martha's Vineyard Transit Authority",NA,"TransLoc","MVTA","Municipal","RealTime",10129,"Massachusetts Department of Transportation"
"NC","1060","A","hpmkt","High Point Furniture Market","McLaurin Parking","TransLoc",NA,"Commercial","RealTime",NA,NA
"TN","1061","A","matatransit","Memphis Area Transit Authority",NA,"ORB CAD","MATA","Municipal","RealTime",40003,"Memphis Area Transit Authority"
"GA","1062","A","mercer","Mercer University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"DC","1063","A","midparkco","Capital One - Washington, DC","MidPark Services, Inc.","TransLoc","MidParkCO","Commercial","RealTime",NA,NA
"PA","1064","A","mccc","Montgomery County Community College",NA,"TransLoc",NA,"University","RealTime",NA,NA
"MD","1065","A","morgan","Morgan State University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"MA","1066","A","nrta","Nantucket Regional Transit Authority",NA,"TransLoc","NRTA Wave","Municipal","RealTime, Traveler",10129,"Massachusetts Department of Transportation"
"NM","1067","A","nmdotparkandride","NMDOT Park and Ride","New Mexico Department of Transportation","Temeda",NA,"Municipal","RealTime",NA,"New Mexico Department of Transportation"
"NC","1068","A","ncsu","North Carolina State University",NA,"TransLoc","Wolfline, NCSU","University","RealTime",40147,NA
"AZ","1069","A","mountainlink","NAIPTA Mountain Line","Northern Arizona Intergovernmental Public Transportation Authority","TransLoc",NA,"Municipal","RealTime",90219,"Northern Arizona Intergovernmental Public Transportation Authority"
"AZ","1070","A","nau","Northern Arizona University","Arizona Board of Regents","Zonar","NAU","University","RealTime",NA,NA
"MA","1071","A","nibr","Novartis Institutes for BioMedical Research, Inc.",NA,"TransLoc","NIBR","Commercial","RealTime",NA,NA
"NJ","1072","A","novartis","Novartis Pharmaceutical Corp.",NA,"TransLoc","Novartis","Commercial","RealTime",NA,NA
"NY","1073","A","nyu","NYU Langone Medical Center","NYU Hospitals Center","TransLoc","NYU Medical Ferry","Medical Campus","RealTime",NA,NA
"MI","1074","A","oakland","Oakland University",NA,"TransLoc",NA,"University","RealTime",NA,NA
"OH","1075","A","osumed","The Ohio State University",NA,"TransLoc","Ohio State University Medical Center","University","RealTime",NA,NA
"GA","1076","A","catbus","CATBus (Clemson Area Transit)","Passio Technologies, Inc.","Passio",NA,"Municipal","Traveler",40208,"City of Clemson/Clemson Area Transit"
"PA","1077","A","pennstatehershey","Penn State Hershey Medical Center",NA,"TransLoc",NA,"Medical Campus","RealTime",NA,NA
"PA","1078","A","philau","Philadelphia University",NA,"TransLoc",NA,"University","RealTime",NA,NA
